매장순위(상품),,,,,,,,,
매장,대분류,중분류,상품코드,바코드,상품명,수량,총매출액,할인액,실매출액
달빛에구운고등어(모현점),모듬,모듬,000310,,모듬구이3인,301,"15,953,000",0,"15,953,000"
달빛에구운고등어(모현점),모듬,모듬,000313,,모듬구이4인,163,"11,736,000",0,"11,736,000"
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000311,,고추장불고기,224,0,0,0
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000312,,소뚝불고기,110,"165,000",0,"165,000"
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000314,,고등어조림,130,0,0,0
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000386,,고등어반마리,9,"36,000",0,"36,000"
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000417,,매운양념추가,28,"28,000",0,"28,000"
달빛에구운고등어(모현점),하이오더전용,하이오더전용,000422,,반반양념변경,98,"98,000",0,"98,000"
달빛에구운고등어(모현점),달빛고특선,달빛고특선,000381,,벌교꼬막비빔밥,162,"1,944,000",0,"1,944,000"
달빛에구운고등어(모현점),달빛고특선,달빛고특선,000387,,달빛1인       (고/무침),233,"3,495,000",0,"3,495,000"
달빛에구운고등어(모현점),달빛고특선,달빛고특선,000388,,보름2인      (고/삼/불),193,"6,176,000",0,"6,176,000"
달빛에구운고등어(모현점),달빛고특선,달빛고특선,000418,,(점)달빛1인     (고/무침),392,"5,684,000",0,"5,684,000"
달빛에구운고등어(모현점),어린이,어린이,000061,,어린이고등어,77,"770,000",0,"770,000"
달빛에구운고등어(모현점),어린이,어린이,000244,,어린이스테이크,68,"748,000",0,"748,000"
소계:달빛에구운고등어(모현점),,,,,,"7,498","116,065,500",0,"116,065,500"
달빛에구운고등어첨단점,주류,주류,000003,,막걸리,36,"144,000",0,"144,000"
달빛에구운고등어첨단점,주류,주류,000004,,코카콜라,254,"635,000",0,"635,000"
달빛에구운고등어첨단점,주류,주류,000005,,사이다,142,"355,000",0,"355,000"
달빛에구운고등어첨단점,주류,주류,000006,,환타,87,"217,500",0,"217,500"
달빛에구운고등어첨단점,주류,주류,000043,,참이슬,225,"1,125,000",0,"1,125,000"
달빛에구운고등어첨단점,주류,주류,000045,,카스,116,"580,000",0,"580,000"
달빛에구운고등어첨단점,주류,주류,000046,,테라,20,"100,000",0,"100,000"
달빛에구운고등어첨단점,주류,주류,000073,,진로,61,"305,000",0,"305,000"
달빛에구운고등어첨단점,주류,주류,000094,,새로,40,"200,000",0,"200,000"
달빛에구운고등어첨단점,주류,주류,000096,,청하,4,"24,000",0,"24,000"
달빛에구운고등어첨단점,주류,주류,000104,,제로콜라,236,"590,000",0,"590,000"
달빛에구운고등어첨단점,주류,주류,000115,,잎새주,33,"165,000",0,"165,000"
달빛에구운고등어첨단점,주류,주류,000131,,캘리,8,"40,000",0,"40,000"
달빛에구운고등어첨단점,생선구이,생선구이,000017,,고등어1마리,"1,334","20,677,000",0,"20,677,000"
달빛에구운고등어첨단점,생선구이,생선구이,000020,,삼치 1마리,266,"4,389,000",0,"4,389,000"
달빛에구운고등어첨단점,생선구이,생선구이,000021,,임연수구이,117,"1,989,000",0,"1,989,000"
달빛에구운고등어첨단점,생선구이,생선구이,000022,,갈치구이,319,"6,699,000",0,"6,699,000"
달빛에구운고등어첨단점,생선구이,생선구이,000039,,보리굴비구이,58,"1,450,000",0,"1,450,000"
달빛에구운고등어첨단점,생선구이,생선구이,000153,,뽈락구이,66,"1,122,000",0,"1,122,000"
달빛에구운고등어첨단점,생선구이,생선구이,000240,,고등어 (반),253,"3,162,500",0,"3,162,500"
달빛에구운고등어첨단점,생선구이,생선구이,000359,,양념 고갈비구이,63,"976,500",0,"976,500"
달빛에구운고등어첨단점,생선구이,생선구이,000421,,삼치 (반),101,"1,262,500",0,"1,262,500"
달빛에구운고등어첨단점,식사류,식사류,000091,,고추장불고기,452,"6,328,000",0,"6,328,000"
달빛에구운고등어첨단점,식사류,식사류,000170,,고등어조림,407,"5,698,000",0,"5,698,000"
달빛에구운고등어첨단점,옵션,옵션,000014,,포장비(조림),52,"26,000",0,"26,000"
달빛에구운고등어첨단점,옵션,옵션,000024,,공기밥,769,"769,000",0,"769,000"
달빛에구운고등어첨단점,옵션,옵션,000070,,포장비,188,"94,000",0,"94,000"
달빛에구운고등어첨단점,옵션,옵션,000097,,물,34,0,0,0
달빛에구운고등어첨단점,옵션,옵션,000098,,앞치마,11,0,0,0
달빛에구운고등어첨단점,옵션,옵션,000099,,수저,14,0,0,0
달빛에구운고등어첨단점,옵션,옵션,000100,,냅킨,4,0,0,0
달빛에구운고등어첨단점,옵션,옵션,000101,,직원호출,206,0,0,0
달빛에구운고등어첨단점,옵션,옵션,000155,,아이스홍시,59,"147,500",0,"147,500"
달빛에구운고등어첨단점,옵션,옵션,000272,,백미새우장(6미),37,"185,000",0,"185,000"
달빛에구운고등어첨단점,모듬,모듬,000105,,모듬구이 2인,900,"35,100,000",0,"35,100,000"
달빛에구운고등어첨단점,모듬,모듬,000106,,모듬구이3인,647,"34,291,000",0,"34,291,000"
달빛에구운고등어첨단점,모듬,모듬,000152,,모듬구이4인,259,"18,648,000",0,"18,648,000"
달빛에구운고등어첨단점,안쓰는 메뉴,안쓰는 메뉴,000018,,(점)고등어구이,220,"3,080,000",0,"3,080,000"
달빛에구운고등어첨단점,티오더전용,티오더전용,000016,,t-고추장불고기,611,0,0,0
달빛에구운고등어첨단점,티오더전용,티오더전용,000090,,t-고등어조림,280,0,0,0
